inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-0.90
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-2.20	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-2.10	inf	-0.60
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-1.10	inf	-1.40	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-2.10	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-3.30	inf	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	-2.40	inf	-1.40	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	-2.10	inf	-2.10	inf	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	-2.40	inf	inf	inf	inf	inf	inf	inf	-1.30
inf	inf	inf	inf	inf	inf	-3.40	inf	inf	inf	inf	inf	inf	inf	-2.50	inf
inf	inf	inf	inf	inf	-3.30	inf	-1.50	inf	inf	inf	inf	inf	-2.10	inf	inf
inf	inf	inf	inf	-2.20	inf	-2.50	inf	inf	inf	inf	inf	-1.40	inf	inf	inf
inf	inf	inf	-1.30	inf	inf	inf	inf	inf	inf	inf	-1.00	inf	inf	inf	inf
inf	inf	-2.40	inf	inf	inf	inf	inf	inf	inf	-1.50	inf	inf	inf	inf	inf
inf	-2.10	inf	-1.00	inf	inf	inf	inf	inf	-1.40	inf	inf	inf	inf	inf	inf
-0.90	inf	-1.30	inf	inf	inf	inf	inf	-0.60	inf	inf	inf	inf	inf	inf	inf
