inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-0.30	-0.50	-0.30	-0.30
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-0.10	-0.20	-1.50	-0.20
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-1.10	-1.20	-0.20	0.20
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-0.30	-0.30	-0.60	-1.10
inf	inf	inf	inf	inf	inf	inf	inf	-1.50	-1.50	-1.40	-1.80	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	-1.00	-0.90	-2.90	-0.80	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	-2.20	-2.00	-1.60	-1.10	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	-1.70	-1.40	-1.80	-2.00	inf	inf	inf	inf
inf	inf	inf	inf	-1.10	-1.50	-1.30	-2.10	inf	inf	inf	inf	0.20	-0.50	-0.30	-0.30
inf	inf	inf	inf	-1.10	-0.70	-2.40	-0.50	inf	inf	inf	inf	-0.10	-0.20	-1.50	-0.20
inf	inf	inf	inf	-2.40	-2.90	-1.40	-1.20	inf	inf	inf	inf	-0.90	-1.10	-0.30	0.00
inf	inf	inf	inf	-1.90	-1.00	-2.20	-1.50	inf	inf	inf	inf	-0.30	-0.30	-0.40	-1.10
-0.50	-0.30	-0.60	-0.50	inf	inf	inf	inf	-0.50	-0.30	-0.60	-0.50	inf	inf	inf	inf
-0.20	-0.10	-1.20	-0.00	inf	inf	inf	inf	-0.20	-0.10	-1.70	0.00	inf	inf	inf	inf
-1.40	-1.20	-0.70	-0.20	inf	inf	inf	inf	-0.80	-1.20	-0.30	-0.70	inf	inf	inf	inf
-0.30	-0.10	-0.50	-0.80	inf	inf	inf	inf	-0.60	-0.10	-0.60	-0.80	inf	inf	inf	inf
